nom	id	theme	v25	v2026
<Chemin de navigation>.AjouteLien	3083034	gestion des chemins de navigation (syntaxe préfixée)	1	1
<Chemin de navigation>.InsèreLien	3083035	gestion des chemins de navigation (syntaxe préfixée)	1	1
<Chemin de navigation>.ModifieLien	3083036	gestion des chemins de navigation (syntaxe préfixée)	1	1
<Chemin de navigation>.SupprimeLien	3083037	gestion des chemins de navigation (syntaxe préfixée)	1	1
<Chemin de navigation>.SupprimeTout	3083038	gestion des chemins de navigation (syntaxe préfixée)	1	1
<Chrono>.Début	1000023788	gestion des Dates et des Heures (syntaxe préfixée)	1	1
<Chrono>.Fin	1000023789	gestion des Dates et des Heures (syntaxe préfixée)	1	1
<Chrono>.Pause	1000023790	gestion des Dates et des Heures (syntaxe préfixée)	1	1
<Chrono>.RAZ	1000023791	gestion des Dates et des Heures (syntaxe préfixée)	1	1
<Chrono>.Reprend	1000023792	gestion des Dates et des Heures (syntaxe préfixée)	1	1
<CodeWLangageMiseEnForme>.MetEnForme	1410090329		0	1
<Colonne Table hiérarchique>.ChercheFils	1000021901	gestion des champs Table hiérarchique (syntaxe préfixée)	1	1
<Combo>.Ferme	3026004	manipulation des champs Combo (syntaxe préfixée)	1	1
<Combo>.Ouvre	3026005	manipulation des champs Combo (syntaxe préfixée)	1	1
<Composant>.Charge	1410089475		0	1
<Composant>.Exécute	1410089476		0	1
<Connexion>.InfoBlocage	1000022774		1	0
<Connexion HFSQL>.ListeHistoriqueReindexation	1410091225	gestion de HFSQL Client/Serveur (syntaxe préfixée)	0	1
<Connexion HFSQL>.RéindexeAsynchrone	1410091221	gestion de HFSQL Client/Serveur (syntaxe préfixée)	0	1
<Connexion HFSQL>.StatCalculeAsynchrone	1410091224	gestion de HFSQL Client/Serveur (syntaxe préfixée)	0	1
<Connexion HFSQL>.VérifieIndexAsynchrone	1410091223	gestion de HFSQL Client/Serveur (syntaxe préfixée)	0	1
<Connexion HFSQL>.VérifieMémoAsynchrone	1410091222	gestion de HFSQL Client/Serveur (syntaxe préfixée)	0	1
<Description de TâcheParallèle>.Exécute	1000021669	gestion des tâches parallèles (syntaxe préfixée)	0	1
<Destination>.CopieEnreg	1000024206	gestion HFSQL (syntaxe préfixée)	0	1
<Diagramme de Gantt>.AjouteCongé	1000021118	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.AjouteLien	1000021120	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.AjouteTâche	1000021121	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.ChangeMode	1000021122	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.HeureAffichée	1000021123	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.HeureOuvrable	1000021124	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.JourSemaineOuvré	1000021125	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.ListeLien	1000021128	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.ListeTâche	1000021129	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.OrganiseTâche	1000021130	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.PositionDateHeure	1000021131	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.RécupèreTâche	1000021137	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.SupprimeLien	1000021138	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.SupprimeTâche	1000021139	Gantt (syntaxe préfixée)	0	1
<Diagramme de Gantt>.SupprimeTout	1000021140	Gantt (syntaxe préfixée)	0	1
<Document>.RechercheElémentParNom	1410088861	gestion du champ Traitement de texte (syntaxe préfixée)	0	1
<Editeur de code>.Charge	1410090411	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Commente	1410090412	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Compile	1410090413	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Décommente	1410090414	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.DupliqueLigne	1410090415	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Exécute	1410090416	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Insère	1410090417	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Recherche	1410090418	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.RécupèreErreur	1410090419	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Remplace	1410090420	gestion du champ Editeur de code (syntaxe préfixée)	0	1
<Editeur de code>.Sauve	1410090421	gestion du champ Editeur de code (syntaxe préfixée)	0	1
