nom	id	theme	description_v25
ceHeureFichier	3023009	accès aux Terminaux Mobiles (Pocket PC)	Renvoie ou modifie les différentes heures d'un fichier (heure de création, de modification ou d'accès). Ce fichier est présent sur le Terminal Mobile 
ceInfoOEM	3023051	accès aux Terminaux Mobiles (Pocket PC)	Renvoie les informations OEM du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceLanceAppli	3023003	accès aux Terminaux Mobiles (Pocket PC)	Lance l'exécution d'un programme (exécutable par exemple) depuis l'application en cours. Le programme est exécuté sur le Terminal Mobile (Pocket PC).
ceListeFichier	3023018	accès aux Terminaux Mobiles (Pocket PC)	Liste les fichiers d'un répertoire (et de ses sous-répertoires) et retourne le nombre de fichiers listés. Le répertoire manipulé est présent sur le Te
ceNomMachine	3023052	accès aux Terminaux Mobiles (Pocket PC)	Renvoie le nom du Terminal Mobile (Pocket PC).
cePlateforme	3023053	accès aux Terminaux Mobiles (Pocket PC)	Renvoie le nom de la plateforme du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreCléSuivante	3023021	accès aux Terminaux Mobiles (Pocket PC)	Identifie la clé suivant la clé spécifiée dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreCréeClé	3023024	accès aux Terminaux Mobiles (Pocket PC)	Crée une clé dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreEcrit	3023014	accès aux Terminaux Mobiles (Pocket PC)	Écrit une valeur dans un registre de la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreExiste	3023015	accès aux Terminaux Mobiles (Pocket PC)	Teste l'existence d'une clé de la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreListeValeur	3023016	accès aux Terminaux Mobiles (Pocket PC)	Renvoie le nom et éventuellement le type des valeurs d'une clé de la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreLit	3023022	accès aux Terminaux Mobiles (Pocket PC)	Lit la valeur d'un registre dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistrePremièreSousClé	3023017	accès aux Terminaux Mobiles (Pocket PC)	Identifie la clé suivant la clé spécifiée dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreSousClé	3023011	accès aux Terminaux Mobiles (Pocket PC)	Identifie le chemin de la Nième sous-clé spécifiée dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreSupprimeClé	3023013	accès aux Terminaux Mobiles (Pocket PC)	Supprime une sous-clé dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRegistreSupprimeValeur	3023020	accès aux Terminaux Mobiles (Pocket PC)	Supprime une valeur dans la base de registre du Terminal Mobile (Pocket PC) connecté au poste en cours.
ceRep	3023004	accès aux Terminaux Mobiles (Pocket PC)	Recherche un fichier ou un répertoire sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
